Geneid	GSM1842140	GSM1842141	GSM1842142	GSM1842143	GSM1842144	GSM1842145	GSM1842146	GSM1842147	GSM1842148	GSM1842149	GSM1842150	GSM1842151	GSM1842152	GSM1842153	GSM1842154
ENSMUSG00000041859	5072	6087	4754	6364	6618	4936	3613	2016	1695	830	3035	2632	240	12300	1489
ENSMUSG00000099714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102121	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097934	4	2	2	2	3	0	0	0	4	10	0	0	8	24	2
ENSMUSG00000025931	106	185	490	234	385	461	259	200	168	253	315	38	209	1367	138
ENSMUSG00000077314	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100929	0	2	0	1	0	0	0	0	0	0	0	0	20	0	0
ENSMUSG00000041809	52	61	248	192	230	299	250	98	55	28	26	0	16	459	44
ENSMUSG00000041779	2961	3313	2115	2082	3439	2531	1481	958	1021	787	1700	1440	573	9906	938
ENSMUSG00000099971	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100819	5	3	2	4	1	6	7	2	0	0	0	0	0	29	2
ENSMUSG00000025933	110	111	101	228	131	156	213	247	120	64	293	205	83	1450	174
ENSMUSG00000102633	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000025934	12	25	21	12	19	22	22	30	8	8	44	86	0	182	14
ENSMUSG00000099343	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ENSMUSG00000096375	0	3	5	0	0	3	6	1	0	0	0	44	0	0	0
ENSMUSG00000121505	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093963	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067750	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086194	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041722	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085079	1	2	5	0	0	0	2	0	0	0	0	0	0	2	0
ENSMUSG00000085679	0	0	2	4	0	0	0	0	0	0	0	0	0	4	0
ENSMUSG00000028033	21	25	42	143	78	35	49	16	2	12	0	0	0	61	8
ENSMUSG00000104138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082935	900	989	395	1230	374	373	468	452	364	258	512	844	379	3534	321
ENSMUSG00000103748	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
ENSMUSG00000099692	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041670	4	26	17	16	21	17	6	22	14	0	8	0	0	64	8
ENSMUSG00000097642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101468	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0
