Symbol	GSM364903	GSM364904	GSM364905	GSM364906
1700034O15Rik	-0.1168842	0.267023	0.32780465	-0.0886131
1700037C18Rik	0.19070385	-0.2029435	0.521479355	-0.599336
1700037H04Rik	0.21011809	-0.564252	0.47628403	-1.0329
1700037N05Rik	0	0.312737	0	0
1700038C09Rik	0	0	0	0
1700039M10Rik	0	0	0	0
1700039O17Rik	0	0	0	0
1700040A12Rik	-0.20852447	0.133052	0.2777769	-0.173988
1700040D17Rik	0	0	0	0
1700040F15Rik	0.12360362	0	0.81874627	-0.300007
1700040F17Rik	0	-0.332875	0	0
1700040I03Rik	-0.39711618	0.272957	-0.45181918	0.505509
1700040L02Rik	0.01613905	0.0669334	0.80802727	-0.661751
